Sales Order,Sales Above or Below Average,Sales (m),Sales,Draw Number,Draw Day,Draw Type,Time,Balls,Jackpot Size (m),Jackpot Size,Jackpot Winners,Jackpot Won (with num),Jackpot Won,Jackpot Winning Tickets,Total Winners (m),Total Winners,Number of Winners Above or Below Average
49,Below Average,33.108174,33108174,1312,Friday,Weekend (Fri),17-Apr-20,16  28  32  37  45  -  01  11,58.366488,58366488,1,Yes (1),Yes (Single Ticket),1,1.217562,1217562,Below Average
50,Below Average,33.150425,33150425,1207,Tuesday,Weekday (Tues),16-Apr-19,1  8  15  44  49  -  02  11,21.879091,21879091,0,No,No,0,1.321568,1321568,Below Average
51,Below Average,33.203867,33203867,1211,Tuesday,Weekday (Tues),30-Apr-19,5  12  20  26  48  -  02  11,21.815835,21815835,1,Yes (1),Yes (Single Ticket),1,1.432093,1432093,Below Average
52,Below Average,33.278241,33278241,1131,Tuesday,Weekday (Tues),24-Jul-18,2  4  23  39  40  -  03  09,32.023423,32023423,0,No,No,0,1.30674,1306740,Below Average
53,Below Average,33.279015,33279015,1025,Tuesday,Weekday (Tues),18-Jul-17,1  25  27  41  45  -  05  07,22.265567,22265567,0,No,No,0,1.279792,1279792,Below Average
54,Below Average,33.356636,33356636,1113,Tuesday,Weekday (Tues),22-May-18,1  11  37  41  48  -  08  12,39.384424,39384424,0,No,No,0,1.146279,1146279,Below Average
55,Below Average,33.37085,33370850,1295,Tuesday,Weekday (Tues),18-Feb-20,11  32  34  38  47  -  02  10,22.469712,22469712,0,No,No,0,1.237264,1237264,Below Average
56,Below Average,33.406521,33406521,1023,Tuesday,Weekday (Tues),11-Jul-17,14  22  26  42  50  -  08  10,15.1895,15189500,1,Yes (1),Yes (Single Ticket),1,1.24581,1245810,Below Average
57,Below Average,33.481699,33481699,1145,Tuesday,Weekday (Tues),11-Sep-18,9  18  32  38  46  -  02  03,22.382447,22382447,0,No,No,0,1.224671,1224671,Below Average
58,Below Average,33.545007,33545007,1299,Tuesday,Weekday (Tues),03-Mar-20,4  14  27  44  45  -  01  10,14.841,14841000,0,No,No,0,1.328279,1328279,Below Average
59,Below Average,33.554997,33554997,1153,Tuesday,Weekday (Tues),09-Oct-18,3  12  36  44  45  -  08  11,14.8733,14873300,0,No,No,0,1.267101,1267101,Below Average
60,Below Average,33.568299,33568299,1341,Tuesday,Weekday (Tues),28-Jul-20,9  13  15  17  34  -  02  07,23.795774,23795774,0,No,No,0,1.523445,1523445,Below Average
61,Below Average,33.680421,33680421,979,Tuesday,Weekday (Tues),07-Feb-17,4  10  31  38  44  -  08  10,21.809971,21809971,0,No,No,0,1.346517,1346517,Below Average
62,Below Average,33.719838,33719838,951,Tuesday,Weekday (Tues),01-Nov-16,6  10  20  29  37  -  01  09,15.3629,15362900,0,No,No,0,1.372058,1372058,Below Average
63,Below Average,33.789459,33789459,985,Tuesday,Weekday (Tues),28-Feb-17,10  20  31  35  42  -  02  12,31.923442,31923442,1,Yes (1),Yes (Single Ticket),1,1.278736,1278736,Below Average
64,Below Average,33.806711,33806711,1141,Tuesday,Weekday (Tues),28-Aug-18,4  16  32  42  46  -  08  12,22.758649,22758649,0,No,No,0,1.134507,1134507,Below Average
65,Below Average,33.812645,33812645,1021,Tuesday,Weekday (Tues),04-Jul-17,10  22  25  37  49  -  05  08,14.943,14943000,0,No,No,0,1.395314,1395314,Below Average
66,Below Average,33.852395,33852395,1331,Tuesday,Weekday (Tues),23-Jun-20,2  12  19  46  49  -  01  08,34.732623,34732623,0,No,No,0,1.290532,1290532,Below Average
67,Below Average,33.867144,33867144,1003,Tuesday,Weekday (Tues),02-May-17,6  19  23  25  27  -  11  12,55.848627,55848627,0,No,No,0,1.59018,1590180,Below Average
68,Below Average,33.879345,33879345,1001,Tuesday,Weekday (Tues),25-Apr-17,9  11  19  32  43  -  03  09,38.059267,38059267,0,No,No,0,1.517119,1517119,Below Average
69,Below Average,33.983732,33983732,1327,Tuesday,Weekday (Tues),09-Jun-20,5  15  27  36  46  -  02  08,34.451775,34451775,0,No,No,0,1.338852,1338852,Below Average
70,Below Average,34.035628,34035628,1318,Friday,Weekend (Fri),08-May-20,8  25  32  33  38  -  07  09,49.837132,49837132,0,No,No,0,1.327697,1327697,Below Average
71,Below Average,34.105948,34105948,1293,Tuesday,Weekday (Tues),11-Feb-20,24  26  32  43  46  -  06  10,14.3429,14342900,1,Yes (1),Yes (Single Ticket),1,1.236529,1236529,Below Average
72,Below Average,34.183462,34183462,1095,Tuesday,Weekday (Tues),20-Mar-18,26  29  37  39  44  -  09  11,22.265427,22265427,0,No,No,0,1.235335,1235335,Below Average
73,Below Average,34.218824,34218824,1369,Tuesday,Weekday (Tues),03-Nov-20,5  7  18  20  30  -  06  07,23.844506,23844506,0,No,No,0,1.573763,1573763,Below Average
74,Below Average,34.278913,34278913,1055,Tuesday,Weekday (Tues),31-Oct-17,1  12  36  43  46  -  03  05,14.9192,14919200,0,No,No,0,1.218701,1218701,Below Average
75,Below Average,34.291618,34291618,1275,Tuesday,Weekday (Tues),10-Dec-19,2  10  19  21  47  -  02  08,21.715889,21715889,0,No,No,0,1.558961,1558961,Below Average
76,Below Average,34.296353,34296353,1337,Tuesday,Weekday (Tues),14-Jul-20,11  22  30  37  47  -  09  10,24.013488,24013488,0,No,No,0,1.258767,1258767,Below Average
77,Below Average,34.315303,34315303,1225,Tuesday,Weekday (Tues),18-Jun-19,12  24  37  40  44  -  03  07,22.579505,22579505,0,No,No,0,1.358255,1358255,Below Average
78,Below Average,34.324989,34324989,1013,Tuesday,Weekday (Tues),06-Jun-17,20  22  25  37  40  -  03  07,14.8665,14866500,0,No,No,0,1.364809,1364809,Below Average
79,Below Average,34.401192,34401192,1221,Tuesday,Weekday (Tues),04-Jun-19,9  31  32  39  41  -  02  08,22.504557,22504557,1,Yes (1),Yes (Single Ticket),1,1.235873,1235873,Below Average
80,Below Average,34.47562,34475620,955,Tuesday,Weekday (Tues),15-Nov-16,7  15  36  42  48  -  03  07,22.092234,22092234,0,No,No,0,1.404829,1404829,Below Average
81,Below Average,34.574977,34574977,1361,Tuesday,Weekday (Tues),06-Oct-20,4  21  36  41  47  -  09  11,15.4853,15485300,0,No,No,0,1.133059,1133059,Below Average
82,Below Average,34.597435,34597435,1125,Tuesday,Weekday (Tues),03-Jul-18,1  12  15  29  48  -  03  05,39.091736,39091736,0,No,No,0,1.440795,1440795,Below Average
83,Below Average,34.63838,34638380,1201,Tuesday,Weekday (Tues),26-Mar-19,12  19  23  43  47  -  02  06,32.010911,32010911,0,No,No,0,1.499613,1499613,Below Average
84,Below Average,34.643176,34643176,1217,Tuesday,Weekday (Tues),21-May-19,32  33  34  39  47  -  08  12,39.211724,39211724,0,No,No,0,1.139762,1139762,Below Average
85,Below Average,34.71766,34717660,1161,Tuesday,Weekday (Tues),06-Nov-18,14  24  36  40  43  -  02  09,14.8325,14832500,0,No,No,0,1.236792,1236792,Below Average
86,Below Average,34.748817,34748817,1167,Tuesday,Weekday (Tues),27-Nov-18,4  16  17  18  32  -  02  11,32.439819,32439819,0,No,No,0,1.435142,1435142,Below Average
87,Below Average,34.844789,34844789,1031,Tuesday,Weekday (Tues),08-Aug-17,15  25  26  40  41  -  04  05,33.089644,33089644,1,Yes (1),Yes (Single Ticket),1,1.255276,1255276,Below Average
88,Below Average,34.993771,34993771,1109,Tuesday,Weekday (Tues),08-May-18,17  25  35  39  44  -  02  05,39.948586,39948586,1,Yes (1),Yes (Single Ticket),1,1.393834,1393834,Below Average
89,Below Average,34.994084,34994084,1103,Tuesday,Weekday (Tues),17-Apr-18,15  27  33  39  50  -  04  06,22.289222,22289222,0,No,No,0,1.37185,1371850,Below Average
90,Below Average,35.106041,35106041,1155,Tuesday,Weekday (Tues),16-Oct-18,15  28  37  40  42  -  01  06,32.638799,32638799,0,No,No,0,1.280093,1280093,Below Average
91,Below Average,35.171614,35171614,1163,Tuesday,Weekday (Tues),13-Nov-18,2  7  10  13  42  -  03  06,33.184923,33184923,0,No,No,0,1.68972,1689720,Below Average
92,Below Average,35.18912,35189120,993,Tuesday,Weekday (Tues),28-Mar-17,9  13  31  33  46  -  06  10,39.63035,39630350,0,No,No,0,1.437386,1437386,Below Average
93,Below Average,35.221957,35221957,1057,Tuesday,Weekday (Tues),07-Nov-17,7  19  20  37  41  -  02  12,14.9702,14970200,0,No,No,0,1.402281,1402281,Below Average
94,Below Average,35.236501,35236501,963,Tuesday,Weekday (Tues),13-Dec-16,14  28  29  48  50  -  02  08,32.050401,32050401,0,No,No,0,1.430438,1430438,Below Average
95,Below Average,35.27201,35272010,1271,Tuesday,Weekday (Tues),26-Nov-19,2  3  15  19  34  -  05  08,22.196254,22196254,0,No,No,0,1.572427,1572427,Below Average
96,Below Average,35.320576,35320576,977,Tuesday,Weekday (Tues),31-Jan-17,3  4  17  23  44  -  06  09,22.233944,22233944,1,Yes (1),Yes (Single Ticket),1,1.680382,1680382,Below Average
97,Below Average,35.353393,35353393,1193,Tuesday,Weekday (Tues),26-Feb-19,3  15  29  35  47  -  03  04,22.256333,22256333,0,No,No,0,1.388366,1388366,Below Average
