Draw Number,Sales for,Draw Day,Time,Balls,Jackpot Size (m),Jackpot Size,Draw Sales (m),Draw Sales,Sales Above or Below Average,Jackpot Winners,Jackpot Won (with num),Total Winners,Total Winners (thousands),Number of Winners Above or Below Average
2548,Saturdays,Saturday,23-May-20,15  37  38  42  45  59  -  54,4.013092,4013092,20.562738,20562738,Above,0,No,84289,84.289,Below
2547,Wednesdays,Wednesday,20-May-20,7  24  26  37  40  57  -  44,2,2000000,12.7,12700000,Below,0,No,63912,63.912,Below
2546,Saturdays,Saturday,16-May-20,4  20  21  44  48  52  -  34,10.848734,10848734,23.413136,23413136,Above,1,Yes (1),117161,117.161,Above
2545,Wednesdays,Wednesday,13-May-20,14  16  19  31  38  47  -  20,8.556588,8556588,14.86572,14865720,Below,0,No,88397,88.397,Below
2544,Saturdays,Saturday,09-May-20,7  18  21  26  42  50  -  59,7.101234,7101234,20.85004,20850040,Above,0,No,134986,134.986,Above
2543,Wednesdays,Wednesday,06-May-20,23  29  32  48  49  51  -  13,5.060015,5060015,12.87043,12870430,Below,0,No,55551,55.551,Below
2542,Saturdays,Saturday,02-May-20,14  18  23  39  44  52  -  47,3.8,3800000,21,21000000,Above,0,No,106880,106.88,Above
2541,Wednesdays,Wednesday,29-Apr-20,16  17  32  36  40  47  -  4,12.384648,12384648,18.90147,18901470,Below,0,No,99223,99.223,Below
2540,Saturdays,Saturday,25-Apr-20,3  9  21  25  28  59  -  36,10.534194,10534194,21.991604,21991604,Above,0,No,154058,154.058,Above
2539,Wednesdays,Wednesday,22-Apr-20,3  8  18  47  50  59  -  12,8.381216,8381216,14.041706,14041706,Below,0,No,64707,64.707,Below
2538,Saturdays,Saturday,18-Apr-20,3  6  31  43  46  53  -  26,7.006533,7006533,20.146752,20146752,Above,0,No,96550,96.55,Below
2537,Wednesdays,Wednesday,15-Apr-20,25  37  38  43  54  57  -  17,5.034166,5034166,12.606394,12606394,Below,0,No,47074,47.074,Below
2536,Saturdays,Saturday,11-Apr-20,20  28  30  31  44  55  -  50,3.8,3800000,21,21000000,Above,0,No,92196,92.196,Below
2535,Wednesdays,Wednesday,08-Apr-20,1  4  19  20  41  45  -  7,11.735036,11735036,16.610102,16610102,Below,0,No,102749,102.749,Above
2534,Saturdays,Saturday,04-Apr-20,4  22  28  39  45  49  -  25,10.108907,10108907,20.912236,20912236,Above,0,No,119593,119.593,Above
2533,Wednesdays,Wednesday,01-Apr-20,4  16  17  22  27  52  -  30,8.061599,8061599,13.112308,13112308,Below,0,No,88248,88.248,Below
2532,Saturdays,Saturday,28-Mar-20,8  14  27  33  46  49  -  11,6.777904,6777904,18.771574,18771574,Below,0,No,117821,117.821,Above
2531,Wednesdays,Wednesday,25-Mar-20,11  24  25  39  53  57  -  9,4.940167,4940167,11.646242,11646242,Below,0,No,47338,47.338,Below
2530,Saturdays,Saturday,21-Mar-20,12  26  29  34  56  58  -  41,3.8,3800000,21,21000000,Above,0,No,81579,81.579,Below
2529,Wednesdays,Wednesday,18-Mar-20,3  7  11  19  27  52  -  5,1,1000000,12.7,12700000,Below,2,Yes (2),129095,129.095,Above
2528,Saturdays,Saturday,14-Mar-20,7  22  30  38  42  47  -  14,4.037783,4037783,20.814944,20814944,Above,1,Yes (1),136282,136.282,Above
2527,Wednesdays,Wednesday,11-Mar-20,10  39  45  46  52  54  -  12,2,2000000,12.7,12700000,Below,0,No,45835,45.835,Below
2526,Saturdays,Saturday,07-Mar-20,5  29  35  36  40  44  -  42,11.578001,11578001,25.665076,25665076,Above,0,No,140091,140.091,Above
2525,Wednesdays,Wednesday,04-Mar-20,4  7  14  19  50  56  -  8,9.06539,9065390,14.665648,14665648,Below,0,No,84167,84.167,Below
2524,Saturdays,Saturday,29-Feb-20,25  32  34  52  55  58  -  9,7.629623,7629623,22.304596,22304596,Above,0,No,79864,79.864,Below
2523,Wednesdays,Wednesday,26-Feb-20,19  20  27  49  52  57  -  4,5.446003,5446003,13.765098,13765098,Below,0,No,55801,55.801,Below
2522,Saturdays,Saturday,22-Feb-20,21  23  25  27  36  47  -  17,4.0984,4098400,21.434116,21434116,Above,0,No,130311,130.311,Above
2521,Wednesdays,Wednesday,19-Feb-20,7  18  21  27  28  48  -  10,2,2000000,12.7,12700000,Below,0,No,109827,109.827,Above
2520,Saturdays,Saturday,15-Feb-20,10  11  33  41  45  54  -  18,3.8,3800000,21,21000000,Above,1,Yes (1),98340,98.34,Below
2519,Wednesdays,Wednesday,12-Feb-20,2  3  5  27  51  54  -  6,5.051768,5051768,12.78619,12786190,Below,1,Yes (1),68949,68.949,Below
2518,Saturdays,Saturday,08-Feb-20,8  35  42  43  54  59  -  21,3.8,3800000,21,21000000,Above,0,No,79091,79.091,Below
2517,Wednesdays,Wednesday,05-Feb-20,20  31  39  42  43  48  -  1,2,2000000,12.7,12700000,Below,1,Yes (1),56797,56.797,Below
2516,Saturdays,Saturday,01-Feb-20,7  42  44  47  58  59  -  52,11.574206,11574206,26.159846,26159846,Above,0,No,112969,112.969,Above
2515,Wednesdays,Wednesday,29-Jan-20,7  23  40  42  47  59  -  58,9.013157,9013157,14.95098,14950980,Below,0,No,74311,74.311,Below
2514,Saturdays,Saturday,25-Jan-20,18  30  33  39  54  55  -  21,7.549456,7549456,22.537548,22537548,Above,0,No,85824,85.824,Below
2513,Wednesdays,Wednesday,22-Jan-20,19  23  25  29  30  36  -  14,5.34303,5343030,13.274914,13274914,Below,0,No,89022,89.022,Below
2512,Saturdays,Saturday,18-Jan-20,14  29  35  41  42  55  -  11,4.043416,4043416,20.872482,20872482,Above,0,No,92588,92.588,Below
2511,Wednesdays,Wednesday,15-Jan-20,15  25  50  52  54  55  -  28,2,2000000,12.7,12700000,Below,0,No,40334,40.334,Below
2510,Saturdays,Saturday,11-Jan-20,27  28  46  51  55  57  -  14,7.244823,7244823,21.822922,21822922,Above,1,Yes (1),75219,75.219,Below
2509,Wednesdays,Wednesday,08-Jan-20,2  23  42  47  50  59  -  32,5.108359,5108359,13.36424,13364240,Below,0,No,53372,53.372,Below
2508,Saturdays,Saturday,04-Jan-20,3  13  14  34  50  51  -  11,3.8,3800000,21,21000000,Above,0,No,86350,86.35,Below
2507,Wednesdays,Wednesday,01-Jan-20,13  20  30  38  50  55  -  5,5.374793,5374793,16.08573,16085730,Below,1,Yes (1),65194,65.194,Below
2506,Saturdays,Saturday,28-Dec-19,1  2  12  23  41  55  -  9,3.8,3800000,21,21000000,Above,0,No,121990,121.99,Above
2505,Wednesdays,Wednesday,25-Dec-19,5  10  11  45  54  58  -  40,15,15000000,15,15000000,Below,0,No,138516,138.516,Above
2504,Saturdays,Saturday,21-Dec-19,12  27  33  36  42  45  -  26,3.8,3800000,21,21000000,Above,0,No,140525,140.525,Above
2503,Wednesdays,Wednesday,18-Dec-19,13  15  36  44  50  56  -  45,2,2000000,12.7,12700000,Below,1,Yes (1),51275,51.275,Below
2502,Saturdays,Saturday,14-Dec-19,2  21  23  32  44  49  -  56,11.598525,11598525,25.290612,25290612,Above,0,No,160604,160.604,Above
2501,Wednesdays,Wednesday,11-Dec-19,7  14  16  33  35  47  -  25,9.122574,9122574,14.923586,14923586,Below,0,No,96661,96.661,Below
2500,Saturdays,Saturday,07-Dec-19,6  20  27  34  35  57  -  39,7.661555,7661555,22.753004,22753004,Above,0,No,104226,104.226,Above
2499,Wednesdays,Wednesday,04-Dec-19,9  13  21  25  28  31  -  1,5.434036,5434036,13.279642,13279642,Below,0,No,116890,116.89,Above
2498,Saturdays,Saturday,30-Nov-19,8  16  24  36  40  57  -  51,4.133959,4133959,21.797334,21797334,Above,0,No,115089,115.089,Above
2497,Wednesdays,Wednesday,27-Nov-19,7  16  22  39  48  55  -  50,2,2000000,12.7,12700000,Below,0,No,67566,67.566,Below
2496,Saturdays,Saturday,23-Nov-19,23  25  28  38  47  58  -  31,25,25000000,23,23000000,Above,0,No,150609,150.609,Above
2495,Wednesdays,Wednesday,20-Nov-19,8  17  31  47  49  52  -  12,8.602997,8602997,13.95193,13951930,Below,0,No,72036,72.036,Below
2494,Saturdays,Saturday,16-Nov-19,2  10  25  51  56  59  -  17,7.237103,7237103,22.045772,22045772,Above,0,No,87614,87.614,Below
2493,Wednesdays,Wednesday,13-Nov-19,1  2  7  9  44  55  -  39,5.078822,5078822,13.062534,13062534,Below,0,No,96644,96.644,Below
2492,Saturdays,Saturday,09-Nov-19,2  11  16  46  51  58  -  31,3.8,3800000,21,21000000,Above,0,No,92634,92.634,Below
2491,Wednesdays,Wednesday,06-Nov-19,17  22  25  27  32  35  -  5,6.317431,6317431,17.882032,17882032,Below,2,Yes (2),106486,106.486,Above
2490,Saturdays,Saturday,02-Nov-19,13  16  28  34  41  56  -  40,10.884211,10884211,23.239786,23239786,Above,0,No,106730,106.73,Above
2489,Wednesdays,Wednesday,30-Oct-19,2  8  19  41  51  56  -  23,8.609036,8609036,14.268346,14268346,Below,0,No,64102,64.102,Below
2488,Saturdays,Saturday,26-Oct-19,16  23  26  38  56  59  -  32,7.212165,7212165,21.49951,21499510,Above,0,No,89122,89.122,Below
2487,Wednesdays,Wednesday,23-Oct-19,5  29  30  39  53  58  -  19,5.107363,5107363,13.354066,13354066,Below,0,No,52717,52.717,Below
2486,Saturdays,Saturday,19-Oct-19,8  15  17  31  33  52  -  13,3.8,3800000,21,21000000,Above,0,No,122148,122.148,Above
2485,Wednesdays,Wednesday,16-Oct-19,4  5  18  29  40  47  -  57,13.02371,13023710,18.58718,18587180,Below,0,No,115509,115.509,Above
2484,Saturdays,Saturday,12-Oct-19,23  27  30  36  40  42  -  58,11.204025,11204025,23.872728,23872728,Above,0,No,133444,133.444,Above
2483,Wednesdays,Wednesday,09-Oct-19,14  22  40  44  55  58  -  12,8.866885,8866885,15.274188,15274188,Below,0,No,64496,64.496,Below
2482,Saturdays,Saturday,05-Oct-19,4  8  12  13  32  34  -  58,7.371542,7371542,22.540062,22540062,Above,0,No,163338,163.338,Above
2481,Wednesdays,Wednesday,02-Oct-19,13  15  20  37  42  47  -  49,5.16487,5164870,13.94147,13941470,Below,0,No,71862,71.862,Below
