Draw Number,Draw Day,Sales for,Time,Balls,Jackpot Size (m),Jackpot Size,Jackpot Above or Below Average,Draw Sales (m),Draw Sales,Sales Above or Below Average,Jackpot Winners,Jackpot Won (with num),Total Winners (m),Total Winners,Number of Winners Above or Below Average,Averages,Average
979,Tuesday,Tuesdays,07-Feb-17,4  10  31  38  44  -  08  10,21.809971,21809971,Below,33.680421,33680421,Below,0,No,1.346517,1346517,Below,Both Below,All Below
978,Friday,Fridays,03-Feb-17,3  4  15  46  50  -  05  09,14.6863,14686300,Below,48.525879,48525879,Below,0,No,1.938228,1938228,Below,Both Below,All Below
977,Tuesday,Tuesdays,31-Jan-17,3  4  17  23  44  -  06  09,22.233944,22233944,Below,35.320576,35320576,Below,1,Yes (1),1.680382,1680382,Below,Both Below,All Below
976,Friday,Fridays,27-Jan-17,17  20  28  45  48  -  05  09,14.4959,14495900,Below,46.536379,46536379,Below,0,No,1.886916,1886916,Below,Both Below,All Below
975,Tuesday,Tuesdays,24-Jan-17,1  5  7  17  23  -  03  08,76.052175,76052175,Above,46.062204,46062204,Below,1,Yes (1),2.402716,2402716,Above,Wins Only,Jackpot + Wins Above
974,Friday,Fridays,20-Jan-17,10  17  27  31  49  -  03  05,70.419453,70419453,Above,58.848184,58848184,Above,0,No,2.594276,2594276,Above,Both Above,All Above
973,Tuesday,Tuesdays,17-Jan-17,4  16  25  43  47  -  02  10,62.366698,62366698,Above,41.85769,41857690,Below,0,No,1.571807,1571807,Below,Both Below,Jackpot Only
972,Friday,Fridays,13-Jan-17,3  7  16  26  50  -  04  07,53.936316,53936316,Above,62.072885,62072885,Above,0,No,2.754685,2754685,Above,Both Above,All Above
971,Tuesday,Tuesdays,10-Jan-17,2  11  29  35  44  -  04  09,40.25965,40259650,Below,37.038561,37038561,Below,0,No,1.511105,1511105,Below,Both Below,All Below
970,Friday,Fridays,06-Jan-17,10  14  18  21  49  -  09  11,31.898943,31898943,Below,46.851392,46851392,Below,0,No,1.98789,1987890,Above,Wins Only,Wins Only
969,Tuesday,Tuesdays,03-Jan-17,19  23  27  34  49  -  01  11,21.591336,21591336,Below,32.967296,32967296,Below,0,No,1.40692,1406920,Below,Both Below,All Below
968,Friday,Fridays,30-Dec-16,8  10  22  29  47  -  01  03,14.5384,14538400,Below,49.286754,49286754,Above,0,No,2.105809,2105809,Above,Both Above,Sales + Wins Above
967,Tuesday,Tuesdays,27-Dec-16,3  22  25  32  39  -  07  12,21.534783,21534783,Below,32.579553,32579553,Below,1,Yes (1),1.291565,1291565,Below,Both Below,All Below
966,Friday,Fridays,23-Dec-16,4  16  20  39  46  -  02  05,14.4874,14487400,Below,52.10904,52109040,Above,0,No,2.048075,2048075,Above,Both Above,Sales + Wins Above
965,Tuesday,Tuesdays,20-Dec-16,13  15  17  21  27  -  02  03,51.875129,51875129,Below,40.075128,40075128,Below,1,Yes (1),2.005448,2005448,Above,Wins Only,Wins Only
964,Friday,Fridays,16-Dec-16,6  10  30  41  45  -  04  11,43.003166,43003166,Below,51.166631,51166631,Above,0,No,2.009466,2009466,Above,Both Above,Sales + Wins Above
963,Tuesday,Tuesdays,13-Dec-16,14  28  29  48  50  -  02  08,32.050401,32050401,Below,35.236501,35236501,Below,0,No,1.430438,1430438,Below,Both Below,All Below
962,Friday,Fridays,09-Dec-16,6  12  28  37  40  -  01  05,24.450957,24450957,Below,47.072026,47072026,Below,0,No,1.991675,1991675,Above,Wins Only,Wins Only
961,Tuesday,Tuesdays,06-Dec-16,1  7  11  27  45  -  04  09,14.3922,14392200,Below,31.716791,31716791,Below,0,No,1.56226,1562260,Below,Both Below,All Below
960,Friday,Fridays,02-Dec-16,6  11  23  31  32  -  02  12,24.66213,24662130,Below,48.104772,48104772,Below,1,Yes (1),2.087858,2087858,Above,Wins Only,Wins Only
959,Tuesday,Tuesdays,29-Nov-16,21  26  27  28  38  -  09  11,14.4942,14494200,Below,32.66667,32666670,Below,0,No,1.332834,1332834,Below,Both Below,All Below
958,Friday,Fridays,25-Nov-16,5  11  17  23  28  -  10  11,26.009712,26009712,Below,54.2551,54255100,Above,2,Yes (2),2.697196,2697196,Above,Both Above,Sales + Wins Above
957,Tuesday,Tuesdays,22-Nov-16,5  10  33  34  47  -  02  10,40.546633,40546633,Below,36.532667,36532667,Below,0,No,1.425468,1425468,Below,Both Below,All Below
956,Friday,Fridays,18-Nov-16,3  12  27  32  47  -  06  08,32.72043,32720430,Below,49.655757,49655757,Above,0,No,2.11983,2119830,Above,Both Above,Sales + Wins Above
955,Tuesday,Tuesdays,15-Nov-16,7  15  36  42  48  -  03  07,22.092234,22092234,Below,34.47562,34475620,Below,0,No,1.404829,1404829,Below,Both Below,All Below
954,Friday,Fridays,11-Nov-16,3  22  23  38  49  -  02  09,14.6489,14648900,Below,47.127288,47127288,Below,0,No,1.946736,1946736,Below,Both Below,All Below
953,Tuesday,Tuesdays,08-Nov-16,5  9  47  49  50  -  08  09,35.072281,35072281,Below,38.172573,38172573,Below,1,Yes (1),1.436674,1436674,Below,Both Below,All Below
952,Friday,Fridays,04-Nov-16,7  11  12  44  48  -  03  07,26.830014,26830014,Below,54.032937,54032937,Above,0,No,2.427049,2427049,Above,Both Above,Sales + Wins Above
951,Tuesday,Tuesdays,01-Nov-16,6  10  20  29  37  -  01  09,15.3629,15362900,Below,33.719838,33719838,Below,0,No,1.372058,1372058,Below,Both Below,All Below
950,Friday,Fridays,28-Oct-16,10  16  19  23  43  -  02  08,15.667698,15667698,Below,72.535638,72535638,Above,1,Yes (1),3.120016,3120016,Above,Both Above,Sales + Wins Above
949,Tuesday,Tuesdays,25-Oct-16,3  15  20  21  28  -  01  05,44.777159,44777159,Below,42.350471,42350471,Below,1,Yes (1),1.835606,1835606,Below,Both Below,All Below
948,Friday,Fridays,21-Oct-16,9  20  23  44  48  -  08  10,35.49788,35497880,Below,55.309888,55309888,Above,0,No,2.112658,2112658,Above,Both Above,Sales + Wins Above
947,Tuesday,Tuesdays,18-Oct-16,2  17  21  25  27  -  06  09,23.638239,23638239,Below,39.106662,39106662,Below,0,No,1.727304,1727304,Below,Both Below,All Below
946,Friday,Fridays,14-Oct-16,7  13  19  31  34  -  01  11,15.3306,15330600,Below,59.017984,59017984,Above,0,No,2.607603,2607603,Above,Both Above,Sales + Wins Above
945,Tuesday,Tuesdays,11-Oct-16,5  12  20  24  37  -  04  11,153.361048,153361048,Above,84.831239,84831239,Above,1,Yes (1),3.428136,3428136,Above,Both Above,All Above
944,Friday,Fridays,07-Oct-16,2  12  20  27  30  -  09  11,140.104641,140104641,Above,98.334429,98334429,Above,0,No,4.100797,4100797,Above,Both Above,All Above
943,Tuesday,Tuesdays,04-Oct-16,4  7  14  34  38  -  04  11,124.041722,124041722,Above,70.457205,70457205,Above,0,No,2.935175,2935175,Above,Both Above,All Above
942,Friday,Fridays,30-Sep-16,17  35  37  43  44  -  02  10,112.697,112697000,Above,106.633158,106633158,Above,0,No,4.028519,4028519,Above,Both Above,All Above
941,Tuesday,Tuesdays,27-Sep-16,6  9  13  39  41  -  02  12,14.671,14671000,Below,38.443084,38443084,Below,0,No,1.572657,1572657,Below,Both Below,All Below
