Sales Order,Sales Above or Below Average,Draw Sales (m),Draw Sales,Draw Number,Draw Day,Sales for,Time,Balls,Jackpot Size (m),Jackpot Size,Jackpot Winners,Jackpot Won (with num),Jackpot Won,Total Winners (ths),Total Winners,Number of Winners Above or Below Average
126,Below Average,13.446834,13446834,2413,Wednesday,Weekday (Wed),06-Feb-19,3  16  24  41  44  53  -  15,5.116445,5116445,0,No,No,68.565,68565,Below Average
127,Below Average,13.45109,13451090,2203,Wednesday,Weekday (Wed),01-Feb-17,6  8  15  31  45  58  -  39,2.03929,2039290,0,No,No,73.655,73655,Below Average
128,Below Average,13.4661,13466100,2249,Wednesday,Weekday (Wed),12-Jul-17,7  14  19  38  40  45  -  18,5.348763,5348763,0,No,No,88.902,88902,Below Average
129,Below Average,13.469472,13469472,2365,Wednesday,Weekday (Wed),22-Aug-18,15  20  21  25  34  47  -  36,6.685121,6685121,1,Yes (1),Yes (Single Ticket),75.29,75290,Below Average
130,Below Average,13.487036,13487036,2247,Wednesday,Weekday (Wed),05-Jul-17,16  18  25  27  29  57  -  4,6.981548,6981548,1,Yes (1),Yes (Single Ticket),77.859,77859,Below Average
131,Below Average,13.487844,13487844,2549,Wednesday,Weekday (Wed),27-May-20,4  7  19  23  34  38  -  46,5.333552,5333552,0,No,No,111.687,111687,Above Average
132,Below Average,13.494362,13494362,2395,Wednesday,Weekday (Wed),05-Dec-18,1  6  13  23  45  56  -  41,5.411352,5411352,0,No,No,81.094,81094,Below Average
133,Below Average,13.495264,13495264,2185,Wednesday,Weekday (Wed),30-Nov-16,10  20  25  39  45  55  -  22,2.04659,2046590,0,No,No,63.27,63270,Below Average
134,Below Average,13.535234,13535234,2181,Wednesday,Weekday (Wed),16-Nov-16,7  12  33  47  50  51  -  40,2.006766,2006766,0,No,No,58.202,58202,Below Average
135,Below Average,13.538048,13538048,2263,Wednesday,Weekday (Wed),30-Aug-17,34  42  46  57  58  59  -  38,9.901377,9901377,0,No,No,43.307,43307,Below Average
136,Below Average,13.544292,13544292,2269,Wednesday,Weekday (Wed),20-Sep-17,8  20  25  50  51  58  -  45,6.88384,6883840,0,No,No,47.072,47072,Below Average
