Jackpot Size,Draw Sales,Jackpot Winners,Runners Up,Tier 1,Tier 2,Tier 3,Total Winners
9590134,13218230,0,1,26,2450,64514,66991
8130368,21905874,0,1,43,2847,72245,75136
5382585,13225284,0,0,20,1715,40475,42210
3377130,22252000,0,0,85,4256,104008,108349
26364533,20770850,0,3,195,9946,168591,178735
24284997,25153378,0,2,52,3862,97713,101629
21555697,16025528,0,0,40,2907,72116,75063
20125455,23966954,0,2,89,6773,148592,155456
17572057,14330938,0,1,47,3465,83003,86516
16447318,23091986,0,0,37,3235,76686,79958
13945461,14092038,0,0,30,2402,58304,60736
12308430,23026866,0,1,53,3528,96641,100223
9394412,13774026,0,1,31,2770,72784,75586
7852229,21736994,0,0,47,3851,99636,103534
5055854,12603304,0,2,22,1706,43088,44818
3187258,21497414,0,2,55,4096,96498,100651
6685121,13469472,1,1,40,2951,72297,75290
5188105,21772210,0,4,120,6948,149747,156819
1960095,12925282,0,0,24,2109,53732,55865
13922705,23381598,1,2,173,10451,188440,199067
10956094,14481128,0,1,73,4789,97146,102009
9309088,22603746,0,1,69,5371,130092,135533
6457803,13222514,0,1,31,2081,54955,57068
4997402,21383168,0,2,96,4678,115994,120770
1827083,12323308,0,3,80,4725,94908,99716
7748131,21477046,1,1,85,6009,132766,138862
5063895,12849174,0,0,20,1816,45676,47512
3115342,21012356,0,2,82,5422,119574,125080
10596472,13761160,1,4,119,5598,103923,109645
9056210,21172076,0,1,34,2947,81149,84131
6417197,12729604,0,0,38,1997,51517,53552
4986777,20822904,0,2,75,4621,105938,110636
1899524,12811908,0,1,29,1631,40598,42259
17196314,23118742,1,1,191,9048,166949,176190
14768674,14350234,0,2,49,3194,71922,75167
13641074,22629966,0,2,55,4496,108892,113445
10785901,13613936,0,3,98,4196,85771,90068
9267495,21544030,0,0,36,2901,76462,79399
6501413,12639134,0,0,32,2293,59055,61380
5085086,21553198,0,0,48,3000,74091,77139
1816584,12252494,0,2,55,3848,85559,89464
4603805,22048852,2,7,163,8815,138621,147608
6438596,12687858,0,2,40,2902,65750,68694
5057464,21231076,0,2,52,3482,90265,93801
1909658,12592688,0,0,36,2392,58056,60484
21044592,24460080,1,3,119,6905,145565,152593
18418082,14622528,0,1,32,2397,62542,64972
17250153,23813012,0,0,60,3997,104548,108605
14638953,14578614,0,1,88,5623,106977,112689
13477493,23393210,0,1,77,7042,143703,150823
10509160,13893540,0,1,35,2576,63694,66306
8949271,21472488,0,1,134,7960,156417,164512
6265709,12358178,0,1,35,2589,62739,65364
4933456,21166412,0,2,94,4195,91590,95881
1795273,12108756,0,1,15,1513,36859,38388
9561853,22407834,1,0,54,3188,86964,90207
6664434,12958490,0,0,74,3934,82365,86373
5199304,22551814,0,2,104,6114,137455,143675
1855785,12237440,0,0,30,2138,60087,62255
9339858,22322526,1,3,78,4731,115560,120373
6530267,13286218,0,1,31,1735,43038,44805
5060421,21901482,0,3,100,6748,149824,156675
1813255,12230040,0,1,31,2452,59363,61847
7988062,22203922,1,0,54,3791,97443,101289
5120878,13067242,0,3,35,2115,55465,57618
3183498,21472054,0,2,45,3756,100737,104540
6700919,12932446,1,2,67,4547,93986,98603
5283524,22430090,0,1,57,3900,98619,102577
1957996,12911440,0,0,25,2151,59830,62006
18139352,24040068,1,1,66,5990,150677,156735
15575114,14337730,0,1,41,2589,65390,68021
14449368,23383304,0,0,45,4271,112113,116429
11404833,14026250,0,1,55,3500,78776,82332
9825247,22899264,0,0,56,4259,115727,120042
6851294,13189212,0,0,43,3031,74173,77247
5351174,22654366,0,1,51,3601,90167,93820
1992347,13137958,0,0,45,2149,55079,57273
8613200,24163538,2,3,290,12736,205897,218928
14643856,14884162,0,1,27,2090,52028,54146
12937095,23630500,0,2,115,7520,168128,175765
9933511,13823708,0,0,38,3351,79985,83374
8337171,23041204,0,2,59,4316,108858,113235
5421027,13144160,0,1,46,3568,82425,86040
3472243,23419582,0,2,64,3664,86388,90118
24430520,20899858,0,1,66,4807,102060,106934
22331857,31815820,0,2,81,5577,134929,140589
18614720,14789416,0,0,42,3231,75224,78497
17371932,23082954,0,1,40,3837,95413,99291
14949598,13552854,0,2,49,2780,70609,73440
13940220,22688596,0,0,43,3420,86648,90111
10999536,13738310,0,1,34,2544,63581,66160
9462662,22348578,0,3,65,4420,110029,114517
6649202,13211760,0,0,28,1619,41221,42868
5145663,22193216,0,1,51,3535,97251,100838
1855244,12513248,0,1,52,3645,81625,85323
18188218,23835694,1,2,54,3552,89183,92792
15654281,14527818,0,0,36,2519,64106,66661
14450835,23485464,0,0,458,6767,145507,152732
11389307,14005308,0,2,101,4449,86106,90658
9812847,23236428,0,3,72,4724,112980,117779
6867823,13626376,0,0,54,4276,92125,96455
5301408,22727158,0,2,46,3778,94132,97958
1931824,13029764,0,1,32,2777,73350,76160
3500729,23080172,1,0,41,3837,99047,102926
24995407,22406956,0,5,134,7773,150162,158074
22673298,25618364,0,1,52,4290,108268,112611
19875058,15953466,0,1,30,2295,55568,57894
18509759,25117294,0,2,53,4023,104238,108316
15785809,15115562,0,1,35,2586,63689,66311
14544740,23657878,0,0,61,4142,102498,106701
11455122,14162306,0,0,20,2044,48013,50077
9807442,23090780,0,4,41,3233,86726,90004
6883840,13544292,0,0,23,1765,45284,47072
5329846,22708370,0,0,52,3891,102947,106890
1886160,12721770,0,3,76,4612,90660,95351
16976182,23715340,1,1,41,4056,111637,115736
14460089,14499668,0,1,24,1858,45467,47350
12810334,22992648,0,1,43,3303,82973,86320
9901377,13538048,0,0,23,1705,41579,43307
8348251,22921180,0,0,44,3222,84763,88029
5372825,13135822,0,0,44,2687,64828,67559
3380310,22290474,0,0,49,3426,82410,85885
1903798,12554046,1,0,73,4195,87078,91347
14402436,23631382,1,3,45,3219,81477,84745
11398810,13846502,0,0,22,2238,60108,62368
9799014,23168976,0,1,52,3692,99361,103106
6863927,13169288,0,1,24,2307,61479,63811
5411439,22700122,0,0,54,2820,70396,73270
1967928,12976932,0,0,22,1970,54535,56527
12791049,23169100,1,4,135,6890,137239,144269
9855934,13736640,0,0,103,5605,106490,112198
8270807,23081000,0,1,36,3538,99712,103287
5348763,13466100,0,2,78,4005,84817,88902
3352302,22105788,0,0,67,5159,125612,130838
6981548,13487036,1,3,39,3251,74565,77859
5481888,23049290,0,0,63,3178,77096,80337
1986370,13098542,0,0,25,2372,61987,64384
21387231,24867038,1,3,83,5206,122110,127403
18700435,15122000,0,0,197,8988,140113,149298
17407211,23809736,0,5,170,9321,181045,190541
14877043,14496030,0,0,78,4552,95504,100134
13178747,23866324,0,2,65,4415,112815,117297
10140252,14137848,0,0,47,3931,87820,91798
8496269,23190178,0,2,56,4729,114255,119042
5558072,13605908,0,0,21,1843,47260,49124
3494644,23044424,0,0,54,3381,87371,90806
25442066,22968312,0,2,45,3973,99299,103319
23036730,26453728,0,1,88,6391,155489,161969
20114637,15922002,0,2,87,5473,110403,115965
18754003,25033346,0,1,100,7410,175247,182758
16042516,14821926,0,0,40,3178,83077,86295
14794798,24352374,0,1,63,4665,111197,115926
11684226,14437150,0,0,34,2398,61311,63743
9994885,23929056,0,1,67,4703,116360,121131
6947106,13604306,0,1,37,2258,59033,61329
5430100,22938956,0,0,52,3913,101492,105457
1951446,13162110,0,1,19,1725,43917,45662
3421655,23078374,1,6,326,13590,212809,226732
15107556,14496302,1,0,31,2633,64041,66706
13409218,23985282,0,3,57,4214,103309,107583
10353081,14538058,0,0,46,3624,82381,86051
8647634,23945690,0,3,97,7032,158882,166014
5597315,13386668,0,0,26,2747,66452,69225
3566205,23516308,0,0,36,3025,69007,72068
663276,13420990,3,6,244,9314,139989,149556
19132964,25028796,1,6,178,8785,172630,181600
16422135,14936586,0,1,30,2730,68633,71394
15207601,24868568,0,1,57,4638,115854,120550
12020527,14508298,0,1,49,3900,89568,93518
10369492,24753416,0,1,55,3669,92547,96272
7199492,14224374,0,1,50,3688,86952,90691
5590553,24120002,0,2,74,5264,115258,120598
2014488,13283802,0,0,20,2415,63226,65661
15342900,25121764,1,3,65,4963,123368,128400
12118230,14784932,0,0,45,3175,73083,76303
10376181,24342474,0,3,58,4351,114509,118921
7267133,14228786,0,0,40,2780,70049,72869
5610040,24084044,0,1,107,6015,140113,146236
2039290,13451090,0,0,48,2963,70644,73655
4369877,24302116,2,0,90,6385,141210,147687
5552469,13560930,0,0,37,3013,74103,77153
3495493,23576398,0,2,40,3401,85858,89301
6103436,14706190,2,1,64,4001,88893,92961
10526484,24622080,0,0,64,3804,97078,100946
7291956,14178908,0,1,28,2067,55628,57724
5689783,24180300,0,0,76,4690,109793,114559
2024754,13656506,0,1,36,2849,69032,71918
26293902,34554072,0,1,89,5757,140568,146415
22170849,15858136,0,0,20,2144,53817,55981
20765992,34233772,0,0,54,5593,140795,146442
16574503,15424700,0,1,52,3187,74721,77961
15287600,25274272,0,3,65,5156,126616,131840
12040376,14816708,0,1,51,4157,98640,102849
10343595,24471150,0,2,73,5351,129073,134499
7215444,14455016,0,1,30,2728,67517,70276
5572309,23779650,0,4,127,9027,182791,191949
2046590,13495264,0,0,34,2274,60962,63270
10394608,24838762,1,4,100,6714,134970,141789
7211954,14490702,0,2,61,4629,101894,106586
5563528,23989648,0,5,193,11203,211377,222778
2006766,13535234,0,1,29,2133,56039,58202
5672414,24259924,1,2,96,6852,152318,159269
2075555,13682198,0,0,27,2027,55481,57535
1807674,24384794,2,4,138,7981,165631,173756
10816275,15115390,1,1,126,5938,111475,117541
9075232,25154284,0,4,101,7362,165314,172781
5845840,14518994,0,0,40,2891,75506,78437
3644720,24582902,0,2,74,5842,143763,149681
26196380,20029072,1,1,45,3144,83384,86575
24226822,28130718,0,3,59,4666,124297,129025
21056054,17364000,0,0,52,3270,85439,88761
19422626,27581122,0,1,101,7166,159098,166366
16333383,15774690,0,2,69,4732,99105,103908
14494590,26226380,0,3,71,5742,147532,153348
11106204,15299198,0,0,34,2249,54171,56454
9286909,25752094,0,1,77,6555,146617,153250
5968842,14780056,0,1,30,2389,62435,64855
3777516,25478708,0,1,56,4213,111253,115523
24440625,19319668,0,3,51,3930,92377,96361
22576245,28687902,0,4,65,4969,128014,133052
19322908,17241128,0,3,197,9185,149967,159352
17766697,27643884,0,2,88,6898,161556,168544
14168137,16425274,0,0,52,3423,83432,86907
12177452,33355668,0,0,100,7436,185955,193491
7622407,14665406,0,0,35,2701,68242,70978
5898564,25183138,0,0,99,4975,118274,123348
2079852,14028184,0,1,36,2529,63733,66299
16109419,26408204,1,1,67,5655,129818,135542
12694073,15507064,0,0,39,2575,67494,70108
10842259,26015360,0,2,50,3564,87619,91235
7485160,14928248,0,1,33,2537,65070,67641
5771863,25063636,0,1,42,3606,93171,96820
2055847,13556016,0,0,51,3085,72752,75888
5750115,24664094,1,1,45,3206,85631,88884
2093346,13803882,0,0,22,1972,53467,55461
11216708,25645600,1,0,67,4645,120165,124878
7827959,15251994,0,0,24,1955,54418,56397
6015662,25746072,0,3,126,7935,168973,177037
2198488,14828360,0,1,38,3689,86012,89740
14671343,26801918,1,7,225,12861,223601,236695
11197784,15607458,0,0,38,2818,71720,74576
9331785,25668650,0,1,73,5896,140647,146617
6026100,14998650,0,0,30,2576,64053,66659
3752365,25308946,0,1,84,6874,154390,161349
21054380,16384136,1,1,74,5749,111100,116925
19625229,26699516,0,1,65,5093,128422,133581
16666695,15572954,0,1,28,2190,54800,57019
14857812,26850098,0,2,53,3923,99514,103492
11376953,15409406,0,1,39,3274,77039,80353
9592318,26787660,0,2,56,4079,102884,107021
6120716,15397128,0,1,36,2785,69079,71901
3837901,25885870,0,1,134,8422,181024,189581
6162138,15436472,1,2,52,3833,81726,85614
3873490,26125910,0,3,75,6426,153064,159568
6315123,15721860,1,0,42,3643,80589,84275
3930932,26513344,0,1,162,8981,183722,192866
11749355,15913850,1,14,187,9657,134881,144740
9889930,27447034,0,1,50,3828,111233,115112
6320566,15506470,0,0,42,2590,68182,70814
3969040,26770376,0,2,86,5864,134549,140501
729026,14751402,3,7,336,12460,167741,180547
10317199,27519968,1,2,68,4339,117561,121971
6737023,15585918,0,1,44,3127,77193,80365
4426238,29189724,0,0,61,4725,120020,124806
35133888,18801284,1,0,35,2769,70801,73606
33282708,29725352,0,2,92,6933,155539,162566
29875556,17577850,0,2,92,4980,105294,110368
28269422,29557590,0,2,65,4208,105647,109922
24887143,17749680,0,6,4082,7879,114232,126199
23255533,29261730,0,1,55,4604,119593,124253
19917119,17473110,0,1,36,3090,81630,84757
18326514,29580270,0,1,61,4240,111868,116170
14440873,17569560,0,2,38,3174,76095,79309
12335968,29010180,0,4,116,7589,163469,171178
8534850,16339912,0,1,49,3237,80607,83894
6612256,29248510,0,3,53,4537,119853,124446
2275802,15349828,0,5,196,7901,136168,144270
6726199,28592014,1,0,60,4149,105890,110100
2388928,15755366,0,0,37,2374,60627,63038
32534188,32755704,1,1,65,5808,144759,150634
28677758,19342962,0,0,78,4766,104777,109621
26744925,32805514,0,1,85,5425,138613,144124
22881101,20096472,0,2,54,3333,82815,86204
20901550,32680728,0,3,239,11091,199925,211258
16556227,19057108,0,1,40,2685,68829,71555
14230775,31773906,0,2,89,7058,178511,185660
10019900,18206982,0,1,44,2725,65206,67976
7820460,33298046,0,0,84,8532,193215,201831
2773612,18707454,0,1,44,2892,72242,75179
33035323,95141760,2,5,259,17695,418225,436186
52964701,44243706,0,2,128,7583,179547,187260
47405023,38752538,0,4,94,6958,178050,185106
42659372,27233710,0,0,63,4354,101062,105479
39529852,33754408,0,0,89,7124,168384,175597
35410343,25092188,0,1,131,8784,182131,191047
32690115,34513260,0,1,97,6054,154082,160234
28573124,21788784,0,0,41,3964,95643,99648
26267667,33611990,0,1,67,5067,129664,134799
22284273,20856038,0,1,59,5118,120008,125186
20192107,33007204,0,1,69,4493,113400,117963
15798380,20065548,0,4,168,7885,151853,159910
13323440,30974892,0,0,101,7030,174327,181458
